"Other Crops: Volume of Production, by Region and by Province, 1990-2019"

"Crop";"Geolocation";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Mangosteen";"..REGION X (NORTHERN MINDANAO)";59.92;49.71;55.81;50.64;47.57;60.11;60.11;88.14;98.86;94.07;164.03;187.61;212.21;210.06;160.97;158.58;150.85;153.12;119.38;134.09;183.96;68.65;65.72;66.60;60.45;66.25;58.05;35.65;44.62;55.11
"Orange";"..REGION X (NORTHERN MINDANAO)";218.50;211.00;201.53;201.82;203.75;205.05;200.19;237.96;203.55;196.78;206.70;193.49;193.73;190.41;154.42;149.32;147.05;146.15;135.65;135.87;133.73;94.80;103.18;98.87;87.62;79.33;66.55;61.01;50.56;48.30
"Papaya";"..REGION X (NORTHERN MINDANAO)";7252.75;7922.90;6181.86;6626.41;13512.47;17529.32;20236.18;14654.90;14789.21;16149.91;21894.78;21439.00;20764.80;22148.94;23570.57;29060.57;32495.57;35629.13;39044.52;36480.28;29151.55;21125.29;26384.95;30107.60;38256.39;37239.80;36790.13;37238.81;37966.90;38287.11
"Pineapple";"..REGION X (NORTHERN MINDANAO)";611089.63;617018.09;697103.96;703008.39;712340.98;759433.91;766260.68;710013.54;735132.53;784178.80;786166.35;799581.48;801546.16;840133.76;889592.98;891580.63;911160.20;924505.32;1007022.34;1026905.28;1067607.50;1159697.74;1294584.09;1341568.73;1392652.07;1468386.88;1516920.31;1554637.14;1572162.73;1583704.38
"Rambutan";"..REGION X (NORTHERN MINDANAO)";116.90;119.45;119.95;148.25;178.25;206.14;206.26;208.92;212.27;220.76;256.35;275.09;286.41;291.61;280.61;297.04;330.75;372.55;206.18;317.15;368.86;268.50;177.83;334.04;379.88;443.50;461.56;439.23;465.18;513.02
"Tamarind";"..REGION X (NORTHERN MINDANAO)";63.00;63.20;53.20;53.22;61.41;61.51;61.99;53.99;53.28;53.34;54.02;45.80;45.44;44.11;39.96;80.19;62.39;61.71;57.54;47.05;41.31;31.10;27.10;21.47;18.20;17.14;16.05;13.79;12.16;10.61
"Watermelon";"..REGION X (NORTHERN MINDANAO)";806.66;635.30;817.78;640.18;465.43;394.71;386.81;542.16;574.16;716.89;713.02;729.23;814.22;905.64;920.05;995.86;1014.80;1158.15;1010.58;1030.46;1240.97;1129.26;1277.83;1502.85;1889.72;2023.71;2246.60;2257.97;2265.97;2353.00
"Asparagus";"..REGION X (NORTHERN MINDANAO)";21.50;16.13;8.00;5.38;..;..;..;2.90;2.90;5.92;6.06;4.58;4.02;203.05;595.50;615.20;651.35;584.00;18.00;15.30;7.50;3.00;..;..;..;..;0.35;1.66;1.70;1.74
"Ampalaya Fruit";"..REGION X (NORTHERN MINDANAO)";1240.44;1082.44;1035.57;1100.99;1131.80;1331.69;1565.18;1370.90;1064.88;1310.50;1335.73;1201.53;1222.09;1987.35;1976.24;1891.28;1926.09;2184.91;2312.21;2350.28;2449.06;2650.66;2735.90;2828.10;2921.97;2882.29;2899.23;3023.34;3118.86;3190.69
"Broccoli";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;7.47;7.52;7.53;7.57;16.70;74.00;336.00;518.02;546.17;640.48;680.16;675.09;780.00;786.00;820.55;872.00;812.00;827.50;876.67;909.70;927.60
